state,year,type_code,type,gender,age_group,total
A & N Islands,2010,Causes,Poverty,Male,15-29,1
A & N Islands,2010,Causes,Family Problems,Female,30-44,1
A & N Islands,2010,Causes,Insanity/Mental Illness,Female,30-44,4
A & N Islands,2010,Causes,Other Causes (Please Specity),Female,30-44,5
A & N Islands,2010,Causes,Other Prolonged Illness,Female,30-44,1
A & N Islands,2010,Causes,Property Dispute,Male,30-44,1
A & N Islands,2010,Causes,Unemployment,Male,30-44,1
A & N Islands,2010,Causes,Other Prolonged Illness,Male,30-44,3
A & N Islands,2010,Causes,Insanity/Mental Illness,Male,30-44,7
A & N Islands,2010,Causes,Causes Not known,Male,30-44,4
A & N Islands,2010,Causes,Paralysis,Male,30-44,1
A & N Islands,2010,Causes,Other Causes (Please Specity),Male,30-44,14
A & N Islands,2010,Causes,Love Affairs,Male,30-44,1
A & N Islands,2010,Causes,Family Problems,Male,30-44,1
A & N Islands,2010,Causes,Other Causes (Please Specity),Female,45-59,2
A & N Islands,2010,Causes,Other Prolonged Illness,Male,45-59,4
A & N Islands,2010,Causes,Causes Not known,Male,45-59,5
A & N Islands,2010,Causes,Insanity/Mental Illness,Male,45-59,2
A & N Islands,2010,Causes,Other Causes (Please Specity),Male,45-59,6
A & N Islands,2010,Causes,Property Dispute,Male,45-59,1
A & N Islands,2010,Causes,Other Prolonged Illness,Female,60+,3
A & N Islands,2010,Causes,Family Problems,Male,60+,2
A & N Islands,2010,Causes,Insanity/Mental Illness,Male,60+,2
A & N Islands,2010,Causes,Other Prolonged Illness,Male,60+,5
A & N Islands,2010,Causes,Causes Not known,Male,60+,3
A & N Islands,2010,Causes,Other Causes (Please Specity),Male,60+,6
A & N Islands,2011,Causes,Other Causes (Please Specity),Female,0-14,2
A & N Islands,2011,Causes,Causes Not known,Female,0-14,2
A & N Islands,2011,Causes,Other Causes (Please Specity),Male,0-14,1
A & N Islands,2011,Causes,Other Prolonged Illness,Female,15-29,3
A & N Islands,2011,Causes,Other Causes (Please Specity),Female,15-29,6
A & N Islands,2011,Causes,Love Affairs,Female,15-29,2
A & N Islands,2011,Causes,Causes Not known,Female,15-29,3
A & N Islands,2011,Causes,Failure in Examination,Female,15-29,1
A & N Islands,2011,Causes,Insanity/Mental Illness,Female,15-29,4
